treatment,plot_id,flux_date,flux_time,flux_year,flux_doy,carbon_type,CO2_raw,CO2_raw_unit,CO2_raw_slope,PAR,soil_temperature_5cm,chamber_temperature,flux_duration
others,85 WN1C 162,2021-06-04,10:48:30,2021,155,NEE,1.0579224976125265,umol CO2 m-2 s-1,non-linear slope,366.68,14.58,18.42,180
others,85 WN1C 162,2021-06-04,10:54:00,2021,155,Rec,11.545042960920352,umol CO2 m-2 s-1,non-linear slope,0.06,14.39,17.94,180
others,105 WN3C 173,2021-06-04,12:53:40,2021,155,NEE,NA,umol CO2 m-2 s-1,non-linear slope,1376.66,18.66,27.92,180
others,105 WN3C 173,2021-06-04,12:57:40,2021,155,Rec,11.419785546997726,umol CO2 m-2 s-1,non-linear slope,0.18,18.21,25.53,180
others,158 WN2C 199,2021-06-05,12:40:30,2021,156,NEE,-3.6685461200173943,umol CO2 m-2 s-1,non-linear slope,643.84,16.52,28.37,180
others,158 WN2C 199,2021-06-05,12:45:00,2021,156,Rec,15.77868925029613,umol CO2 m-2 s-1,non-linear slope,1.55,16.4,26.68,180
CTL,81 AN1C 81,2021-06-06,13:45:30,2021,157,NEE,-7.526808386149037,umol CO2 m-2 s-1,non-linear slope,1067.14,18.12,25.28,180
CTL,81 AN1C 81,2021-06-06,13:49:30,2021,157,Rec,2.910594776404779,umol CO2 m-2 s-1,non-linear slope,4.41,18.4,23.89,180
CTL,109 AN3C 109,2021-06-06,15:31:00,2021,157,NEE,4.430360736893839,umol CO2 m-2 s-1,non-linear slope,456.54,21.46,21.07,180
CTL,109 AN3C 109,2021-06-06,15:35:00,2021,157,Rec,10.688359684987601,umol CO2 m-2 s-1,non-linear slope,2.47,20.89,19.76,180
CTL,156 AN2C 156,2021-06-07,14:20:10,2021,158,NEE,-0.9704788599159949,umol CO2 m-2 s-1,non-linear slope,1649.7,19.64,31.5,180
CTL,156 AN2C 156,2021-06-07,14:24:00,2021,158,Rec,21.771509327950348,umol CO2 m-2 s-1,non-linear slope,4.31,18.14,28.2,180
CTL,4 AN1C 4,2021-06-21,14:03:30,2021,172,NEE,-2.7271782055887543,umol CO2 m-2 s-1,non-linear slope,530.08,9.16,12.62,180
CTL,4 AN1C 4,2021-06-21,14:08:00,2021,172,Rec,3.8928169660162277,umol CO2 m-2 s-1,non-linear slope,2.06,9.08,11.27,180
CTL,27 AN3C 27,2021-06-21,15:03:45,2021,172,NEE,-4.066744165017683,umol CO2 m-2 s-1,non-linear slope,640.19,12.6,13.74,180
CTL,27 AN3C 27,2021-06-21,15:08:10,2021,172,Rec,-0.49635068184976716,umol CO2 m-2 s-1,non-linear slope,3.29,12.59,13.28,180
CTL,77 AN2C 77,2021-06-22,12:24:55,2021,173,NEE,-0.36825098980126814,umol CO2 m-2 s-1,non-linear slope,450.61,11.14,20.46,180
CTL,77 AN2C 77,2021-06-22,12:28:45,2021,173,Rec,3.6605869144655165,umol CO2 m-2 s-1,non-linear slope,0.67,10.76,18.01,180
others,74 WN2C 155,2021-06-23,11:02:00,2021,174,NEE,-2.8723822436862303,umol CO2 m-2 s-1,non-linear slope,537.69,14.14,24.96,180
others,74 WN2C 155,2021-06-23,11:06:10,2021,174,Rec,4.735128004966819,umol CO2 m-2 s-1,non-linear slope,2.99,14.12,22.98,180
others,3 WN1C 85,2021-06-23,13:36:35,2021,174,NEE,-5.794026489952133,umol CO2 m-2 s-1,non-linear slope,1432.16,16.62,29.42,180
others,3 WN1C 85,2021-06-23,13:40:50,2021,174,Rec,21.710444464022945,umol CO2 m-2 s-1,non-linear slope,4.13,16.7,26.69,180
others,29 WN3C 106,2021-06-23,14:43:25,2021,174,NEE,2.763002621156458,umol CO2 m-2 s-1,non-linear slope,1090.01,18.15,27.6,180
others,29 WN3C 106,2021-06-23,14:48:05,2021,174,Rec,25.850942662519987,umol CO2 m-2 s-1,non-linear slope,2.82,18.06,25.87,180
others,74 WN2C 155,2021-07-12,16:15:40,2021,193,NEE,4.465819597506143,umol CO2 m-2 s-1,non-linear slope,576.41,19.09,26.74,180
others,74 WN2C 155,2021-07-12,16:20:15,2021,193,Rec,17.884288796555648,umol CO2 m-2 s-1,non-linear slope,3.43,18.8,25.38,180
CTL,156 AN2C 156,2021-07-12,16:24:45,2021,193,NEE,15.382740577309354,umol CO2 m-2 s-1,non-linear slope,1339.37,17.59,29.89,180
CTL,156 AN2C 156,2021-07-12,16:29:10,2021,193,Rec,37.44029631049096,umol CO2 m-2 s-1,non-linear slope,3.61,17.58,28.82,180
others,158 WN2C 199,2021-07-13,14:55:00,2021,194,NEE,23.112287585117475,umol CO2 m-2 s-1,non-linear slope,421.23,18.67,27.29,180
others,158 WN2C 199,2021-07-13,14:59:30,2021,194,Rec,16.278477599934536,umol CO2 m-2 s-1,non-linear slope,1.66,18.17,25.4,180
others,85 WN1C 162,2021-07-14,14:17:30,2021,195,NEE,0,umol CO2 m-2 s-1,non-linear slope,467.22,19.17,24.28,180
others,85 WN1C 162,2021-07-14,14:22:10,2021,195,Rec,24.169703984516698,umol CO2 m-2 s-1,non-linear slope,5.57,18.95,23.43,180
others,105 WN3C 173,2021-07-14,15:44:55,2021,195,NEE,21.035044648799843,umol CO2 m-2 s-1,non-linear slope,1442.32,22.8,33.31,180
others,105 WN3C 173,2021-07-14,15:49:00,2021,195,Rec,34.156249987069685,umol CO2 m-2 s-1,non-linear slope,3.23,22.61,31.45,180
CTL,81 AN1C 81,2021-07-15,13:25:55,2021,196,NEE,10.745666636574956,umol CO2 m-2 s-1,non-linear slope,1336.12,20.34,29.27,180
